Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Michel CASTELLANI,REG,11962,19.26,31.74,QUALIF T2
M. Jean-Michel MARCHAL,RN,10855,17.48,28.80,QUALIF T2
M. Julien MORGANTI,DVC,5436,8.75,14.42,NON
M. Sacha BASTELICA,FI,3352,5.40,8.89,NON
M. Jean-François PAOLI,DVC,2045,3.29,5.43,NON
M. Nicolas BATTINI,REG,1603,2.58,4.25,NON
M. Jean-Baptiste LUCCIARDI,REG,1471,2.37,3.90,NON
M. Alexis FERNANDEZ,DSV,393,0.63,1.04,NON
M. Jean-Michel LAMBERTI,REC,370,0.60,0.98,NON
M. Olivier JOSUÉ,EXG,203,0.33,0.54,NON
