Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Eva SAS,UG,30923,36.25,50.73,OUI
M. David OUZILOU,ENS,17305,20.29,28.39,NON
Mme Vanessa VICENTE,RN,7084,8.31,11.62,NON
M. Florent BRUNETTI,LR,3210,3.76,5.27,NON
M. Pierre-Louis GISCARD D'ESTAING,DVC,960,1.13,1.57,NON
M. Jannick TRUNKENWALD,REC,688,0.81,1.13,NON
Mme Anne BERNON,EXG,317,0.37,0.52,NON
Mme Christine VIAL KAYSER,DVC,280,0.33,0.46,NON
Mme Camille ADOUE,EXG,176,0.21,0.29,NON
M. Manuel LUTZ,REG,19,0.02,0.03,NON
M. N'Cho Xavier LAWSON-AGBAN,DVG,0,0.00,0.00,NON
M. Gwenolé SELLES,EXG,0,0.00,0.00,NON
