Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Charlotte MINVIELLE,UG,26873,16.73,39.22,QUALIF T2
M. Vincent CAURE,ENS,26810,16.69,39.13,QUALIF T2
Mme Sophie CHARBONNET,RN,4504,2.80,6.57,NON
Mme Balthazar ROGER,LR,3442,2.14,5.02,NON
Mme Assamahou LAMARRE,DVC,3365,2.09,4.91,NON
M. Joel HESLAUT,DVC,1251,0.78,1.83,NON
M. Anthony COUTRET,REC,752,0.47,1.10,NON
M. Tanguy PINOMAA-DANZÉ,DVG,701,0.44,1.02,NON
M. Emmanuel CONSTANTIN,ECO,355,0.22,0.52,NON
M. Tim CRAYE,DVD,236,0.15,0.34,NON
M. Yvan BACHAUD,DIV,226,0.14,0.33,NON
